lang,text,nco_2015
ta,பிராந்திய விற்பனை மேலாளர்,3322.1001
ta,மாடல் (கல் தவிர),2651.0200
en,School Inspector,2351.0100
ta,விளம்பர எழுத்தாளர்,2431.0400
hi,खोजकर्ता,3351.0300
en,"Dairy Products Makers, Others",7513.9900
en,Dermatologist,2212.0200
hi,मत्स्य पालन निरीक्षक,6224.0600
ta,மக்கள்தொகையாளர்,2632.0400
en,"Oil Crusher Operator, Animal-Driven",7514.0200
hi,भूकंप विज्ञानी,2114.0700
en,Pressure Die Casting (PDC) Operator,8121.4201
hi,रोलरमैन (कांच),8181.0600
ta,ஜிக் மற்றும் ஃபிக்ச்சர் மார்க்கர்,7222.0300
en,Ploughman,9211.0100
en,Lead Brush Maker (Abrasive Wheel),8114.0600
en,"Working Proprietor, Electricity",1120.0100
ta,"பின்னல் இயந்திர இயக்குபவர், தானியங்கி",7318.0400
hi,यात्रा एजेंट,5113.0100
hi,"गोताखोर, चांक",7541.0200
hi,हील पैडिंग मशीन ऑपरेटर,8156.2400
ta,கடை ஆபரேட்டரை அழுத்தவும்,7211.0101
hi,"निदेशक, बिजली",1120.0400
ta,ஸ்டாம்பர்/ஃபோர்ஜிங் ஆபரேட்டர்,7221.0500
hi,"सामाजिक कार्य पेशेवर, अन्य",2635.9900
hi,कंक्रीट मिक्सर प्रचालक,8114.0300
ta,"டிராமர், சுரங்கங்கள்",8111.2800
hi,"गुच्छेदार मिलर, गेहूँ और जौ (अनाज-चारा मिल)",8160.1900
hi,फील्ड तकनीशियनः एयर-कंडीशनर,7421.0401
ta,"கட்டுமான இன்சுலேட்டர், இயந்திரம்",8183.0100
ta,உலை மாற்றியை இயக்குபவர்,8131.3700
ta,இறுதி தர ஆய்வாளர்,7313.2601
hi,जीवन रक्षक,3423.0501
hi,"अपोल्स्टर, फर्नीचर",7534.0100
ta,தூய்மைப்படுத்தும் கலைஞர்,2166.0207
en,Final Product QC Technician,7543.0702
en,Autocomponent Assembly Fitter,3139.1501
ta,மேற்பரப்பு சிகிச்சை தொழில்நுட்ப வல்லுநர்,8122.0101
ta,நச்சுவியல் நிபுணர் (மருந்து),2212.1600
en,Personal Secretary,4120.0200
hi,"रसायनज्ञ, खाद्य",2131.1400
ta,அடிப்படை தொலைத்தொடர்பு வழங்குநர் (ஜிஆர்டிபி),7422.0202
hi,सी. एन. सी. सेटर-सह-संचालक-टर्निंग,7223.6001
hi,"फिटर, रेलवे कैरिज और वैगन",7233.2300
hi,"चार्ज हैंड, रैक वायरिंग (टेलीफोन उपकरण) निर्माण",3122.5900
en,"Roof Bolter, Mining",8111.1300
hi,प्रदूषण नियंत्रण इंजीनियर,2143.0500
en,"Social Work Professionals, Other",2635.9900
hi,बॉयलर हाउस ऑपरेटिव्स,8182.0400
ta,"ஓட்டுநர், ஆம்புலன்ஸ்",8322.0301
hi,उड़ान इंजीनियर,3153.1100
ta,"ஜெம் கிரைண்டர், கை",7313.1300
ta,இரட்டை இயந்திர இயக்குபவர் (ஜவுளி),8151.0400
en,Janitor/Housekeeping Attendant,5151.0201
ta,"நீக்குபவர் உதவியாளர், சர்க்கரை",8160.5200
ta,"ஓவர்மேன், கொலரி",3121.0400
en,Comb Minder/Combing Preparatory Operator,7318.3400
en,Cement Finisher,7114.0200
hi,"कुएं ड्रिलर, पेट्रोलियम और गैस",8113.0100
hi,एक्स-रे तकनीशियन,3211.0100
hi,डीप सेल अटेंडेंट,7542.0800
en,"Hand Printer, Textile/Hand Block Printer",7318.0500
hi,"जीवविज्ञानी, जनरल",2131.0100
ta,"ஸ்கட்சர்மேன், ப்ளீச்சிங்",8154.0800
hi,"क्रोकेट कार्यकर्ता, हाथ",7318.6500
ta,சுழற்சி குழாய் மாற்றியாகும்,8141.2300
hi,"वाणिज्यिक बिक्री प्रतिनिधि, अन्य",3322.9900
hi,ऑफिस बॉय/प्यून,4419.0500
ta,தர உத்தரவாத பொறியாளர்-தகவல் தொழில்நுட்ப சேவைகள்,2519.0301
en,"Chemical Engineer, Drugs and Acids",2145.0400
ta,ஏற்றுபவர்/ஏற்றுதல் மற்றும் இறக்குதல் இயக்குபவர்,9333.0101
hi,"पर्यावरण विज्ञान और संरक्षण तकनीशियन, अन्य",3257.9900
hi,वाशिंग मशीन ऑपरेटर,8157.0100
ta,வானியலாளர்,2111.0900
ta,"அரசு வரி மற்றும் கலால் அதிகாரிகள், பிற",3352.9900
hi,पॉलिश किया गया हीरा श्रेणीकार और सहायक (बुनियादी),7313.1502
hi,"निदेशक, निर्माण",1120.1300
ta,நகராட்சி நீர் மற்றும் கழிவுநீர் மதிப்பீட்டாளர்,9623.0301
en,"Primary School Teachers, Other",2341.9900
ta,"ஃபிட்டர் லெவலிங், சீரமைப்பு மற்றும் சமநிலைப்படுத்தல்",7233.0121
ta,டிராம் கார் டிரைவர் (சுரங்கங்கள்),8332.0200
hi,"सिग्नलमैन, ट्राम",8331.0600
hi,मोटर वाहन शरीर चित्रकला तकनीशियन,7132.0204
hi,"ड्राफ्टपर्सन, स्थलाकृतिक",3118.0600
en,Equestrian,2659.0300
en,Commercial Vehicle Driver Trainer,5165.0101
ta,மொபைல் கிரேன் ஆபரேட்டர்,8343.0500
hi,"महाप्रबंधक, परिवहन",1324.2100
en,Suitcase Maker,7536.2300
hi,मल्टीमीडिया कलाकार और एनिमेटर/एनिमेटर,2166.0201
en,"Chemist, Biological",2131.1300
en,"Astrologers, Fortune Tellers and Related Workers, Other",5161.9900
en,Automotive Engineering Technician/Testing Manager,3115.0201
hi,"चारकोल बर्नर, मधमाखी भट्टी (रासायनिक)",8131.5600
ta,பகுதி பாகங்கள் மேலாளர் (ஏபிஎம்),5222.0101
hi,"कटर, मशीन (वस्त्र उत्पाद)",7532.0900
hi,"मछुआरा, अंतर्देशीय जल",6222.0100
en,Equal Opportunity Officer,3412.0200
hi,हाथी का रखवाला,6121.1100
ta,இந்திய தலைமை வழக்கறிஞர்,2611.0100
ta,"மணல் வெடிப்பு ஆபரேட்டர், கட்டுமானம்",8342.1900
hi,केंद्रापसरण कास्टिंग मशीन प्रचालक,3135.3100
en,Cynideman,8112.0400
en,Rig Mouted Drill Operator,8111.0401
en,Delimer,7535.0600
hi,लकड़ी काटने की मशीन संचालक,8172.1000
en,"Gem Polisher, Machine",8189.0200
hi,"निदेशक, क्वारी",1120.1500
en,"Bus and Tram Drivers, Other",8331.9900
en,"Wood Carver, Hand",7522.1200
hi,इन्वेंट्री मैनेजर,4321.0103
en,"Rubber and Rubberised Product Makers, Other",8141.9900
ta,பொத்தான் துளை தயாரிப்பாளர்,7532.1200
en,"Biologist, General",2131.0100
ta,அமில செறிவு,8131.8000
en,Slotter,7223.1100
hi,प्रक्रिया में और अंतिम गुणवत्ता इंजीनियर,3113.0801
hi,"ट्रिमर, मशीन",8156.2100
en,Singeing Machineman/Singeing Machine Operator,8154.2700
ta,திரைப்பட ஆசிரியர்/ஆசிரியர்,3521.0501
en,"Engineering Supervisor, Telephone",3122.5700
hi,"चित्रकार, औद्योगिक",7131.0300
hi,भाषा विशेषज्ञ,2643.0100
hi,(लेटर बॉक्स प्यून) पोस्ट मैन,9621.0600
hi,"प्रयोगशाला सहायक, पेट्रोलियम और स्नेहक",3116.0500
hi,"डेटा प्रविष्टि क्लर्क, अन्य",4132.9900
ta,டிஏஎஸ் செட்-டாப் பாக்ஸ் நிறுவுநர் மற்றும் சேவை தொழில்நுட்ப வல்லுநர்,7422.1203
hi,"मैकेनिक, गैस/डीजल इंजन",7233.0600
en,"Medical Assistants, Other",3256.9900
hi,"प्रबंधक, संचार",1330.0100
hi,"बॉडी बिल्डर, ऑटोमोबाइल",7522.0600
hi,असेंबली ऑपरेटर-टीवी,8212.1401
ta,"சுரங்கப் பொறியாளர், உலோகம்",2146.0300
en,Installation Engineer Installation Engineer – SDH & DWDM–,3114.0902
hi,स्वतंत्र पत्रकार,2642.0300
ta,"டி-கம்மர், பட்டு",8154.0600
ta,புத்தகத் தயாரிப்பாளர்,4212.0200
en,"Trammer, Mines",8111.2800
en,Millwright,7233.1200
en,"Weaver, Handloom",7318.5800
en,"Manager, Flight Operation",1324.0800
en,"Supervisors and Foremen in Mining and Mineral Processing Plant Operation Activities, Other",3121.9900
en,Assembly Operator (Radio Manufacturing),8212.0900
ta,டம்பர் ஆபரேட்டர்/டம்பர்/டிப்பர் ஆபரேட்டர்,8342.1201
en,Levelling Machine Attendant (Match),8122.8100
en,"Chief Steward, Ship/Chief Cook",5111.0100
en,"Instrumental Musician, Percussion Instrument",2652.0500
ta,"மேற்பார்வையாளர் மற்றும் தலைமை அதிகாரி, காகித கூழ் மற்றும் காகிதத் தயாரிப்பு",3122.1100
en,"Upholsterers and Related Workers, Other",7534.9900
hi,अंतिम असेंबली ऑपरेटर-चुंबक,8212.2101
hi,टेलीविजन इंस्टॉलेशन मैन,7422.1100
en,"Medical Imaging and Therapeutic Equipment Technicians, Other",3211.9900
hi,क्रापर,8154.2200
en,Sand Blaster (Glass),7316.0300
hi,"रामर, ऊर्ध्वाधर पाइप मोल्डिंग",7211.0400
hi,स्थलाकृतिक सहायक,3112.0400
hi,"मैकेनिकल इंजीनियर, अन्य",2144.9900
en,"Physicist, General",2111.0100
ta,வடிவமைப்பு பொறியாளர் (தயாரிப்பு பொறியாளர்),2512.0203
hi,सहायक-नीचे से बनाना (जूते),8156.2601
ta,விமானப் பொறியாளர்,3153.1100
hi,ऑप्टिकल फाइबर तकनीशियन,7422.0801
hi,"खाद्य और पेय स्वाद और श्रेणी, अन्य",7515.9900
hi,सिनेडेमैन,8112.0400
hi,कैपिंग मशीन ऑपरेटर,8212.1904
hi,बाल देखभाल कार्यकर्ता,5311.0200
hi,रचना कक्ष प्रचालकों,7321.0400
ta,"பொது மேலாளர், எரிவாயு",1321.0800
hi,"घरेलू और संबंधित सहायक, सफाईकर्मी और कपड़े धोने वाले, अन्य",9111.9900
ta,"கான்ஸ்டபிள், கலால் வரி",5412.0300
ta,"அசெம்பிளர், பிரேம், ஏர்க்ராஃப்ட்",8211.1400
en,Tyre Building Operator – Commercial Vehicles,8141.1702
en,"Traffic Shunter, Railway",8312.0400
hi,इलेक्ट्रिक मोटर वाइंडर,8212.0500
hi,"ड्राई क्लीनर, मशीन",8157.0300
hi,शीट मेटल मशीन ऑपरेटर,7223.2400
en,Sales Director (Media Org),1120.3402
hi,स्वचालित ऑप्टिकल निरीक्षण मशीन प्रचालक,3113.0803
hi,फाइलर और असेंबलर,7313.0103
hi,"परिवहन उपकरण प्रचालक और चालक, अन्य",9331.0600
hi,पीतल संगीत वाद्ययंत्र संयोजन,7312.1700
ta,படக் கட்டமைப்பாளர்,7125.0300
hi,कतरनी और अपकॉइलर प्रचालक (अलौह धातु)/कॉइल प्रचालक,8121.2300
en,Computer Topographical,3112.0500
hi,"खनन इंजीनियर, धातु विज्ञानी और संबंधित पेशेवर, अन्य",2146.9900
hi,इन-स्टोर प्रमोटर,5242.0401
ta,தானியங்கி கூறு அசெம்பிளி ஃபிட்டர்,3139.1501
hi,ट्रैकर,6224.0400
hi,ऑनर/ऑनिंग मशीन ऑपरेटर,7224.0600
hi,पर्यावरण इंजीनियरिंग तकनीशियन,3257.0500
en,"Traffic Officer, Air Service/Traffic Controller",1324.1100
en,"Circus Performers, Other",2659.0500
ta,நடுவர்கள்,3422.0400
ta,"மேலாளர், என்னுடையவர்",1322.0100
ta,போக்குவரத்து ஒருங்கிணைப்பாளர்,2431.0671
ta,மேலாளர் விற்பனையாளர் மேம்பாடு,1324.0103
ta,திட்டமிடல் பொறியாளர்,2141.0500
hi,नेटवर्क प्रबंधन इंजीनियर,3114.1301
hi,टैक्सीडर्मिस्ट,3141.0300
hi,खेल मालिशकर्ता,2264.0401
ta,மனிதவள மேலாளர்,2424.0300
hi,आंतरिक परत और दबाए जाने वाला प्रचालक,8212.2501
hi,सुरक्षा पर्यवेक्षक,5414.0111
hi,"कॉलकर, नाव निर्माण",7115.1300
ta,"வடிவம் தயாரிப்பாளர், ஃபர்",7531.1300
hi,"कार्यकारी अधिकारी, केंद्र सरकार",1112.0300
en,Tablet Machine Operator,8142.0100
ta,"மருந்து உதவியாளர்கள், பிற",3213.9900
ta,"இயந்திரவியல், அச்சிடும் இயந்திரம்",7233.1700
ta,"ஹீலர், மெஷின்/ஹீல் அட்டாச்சர்",8156.1800
en,"Beauticians and Related Workers, Others",5142.9900
en,Rubber Nursery Manager,1311.0901
hi,"फिजियोथेरेपिस्ट और संबंधित सहयोगी पेशेवर, अन्य",2264.9900
ta,விற்பனை முன்னணி (முன் சொந்தமான வாகனங்கள்),3322.1202
ta,"எலக்ட்ரானிக்ஸ் ஃபிட்டர், ஜெனரல்",7421.0100
hi,कढ़ाई मशीन ऑपरेटर (ज़िग ज़ाग मशीन),8153.0601
ta,"மேற்பார்வையாளர் மற்றும் தலைமை அதிகாரி, இயந்திரங்கள் பொருத்துதல் மற்றும் பழுதுபார்ப்பு",3122.5200
ta,விற்பனை நிர்வாகி-நுகர்வோர் மின்னணுவியல்,2433.0401
ta,"மின் உற்பத்தி நிலைய ஆபரேட்டர்கள், பிற",3131.9900
ta,"அரைப்பவர், கிராங்க்ஷாஃப்ட்",7224.0200
en,Musical Instrument Repairer,7312.1800
hi,उत्पाद विकास प्रबंधक,3122.6502
ta,பஞ்சாயத்து செயலாளர்,4120.0300
hi,प्रोस्थोडॉन्टिस्ट,2261.0500
ta,"கால்நடைத் தொழிலாளி, பொது",6121.0300
hi,बॉक्स असेंबली ऑपरेटर,8212.2202
ta,ஷாட்ஃபைர்,7542.0100
en,"Director, Retail Trade",1120.2200
ta,சுரங்கத் தொழிலாளர்கள் மற்றும் இதர சுரங்கத் தொழிலாளர்கள்,9311.9900
hi,स्लिटिंग मशीन ऑपरेटर (अपघर्षक),8122.7700
ta,"மேலாளர், சுகாதாரக் கழகம்/மேலாளர், உடற்பயிற்சிக் கழகம்/மையம்/உடற்பயிற்சிக் கூடம்",1219.0200
en,Personnel Manager,1212.0100
hi,"लाइन इंस्पेक्टर, टेलीफोन",3522.0200
en,"Pulp and Papermaking Plant Operators, Other",8171.9900
hi,"छत का बोल्ट, खनन",8111.1300
hi,"मूल्यांकनकर्ता, सीमा शुल्क",3315.0300
ta,"முன்பதிவு கிளார்க், பொழுதுபோக்கு",4212.0100
hi,"महाप्रबंधक, वेल ड्रिलिंग",1322.0600
en,"General Manager, Insurance",1211.0200
hi,वैगन ड्रिलर,8111.0300
hi,प्रमुख खाता सेवा प्रबंधक,5249.0101
en,"Pump Station Operator, Waterworks",3132.0600
en,Environmental Compliance Inspector,3257.0400
en,"Turbine Operator, Hydel",3131.0400
ta,ஸ்லாக் ஃப்ளஷர்,8121.3300
hi,"वानिकी और संबंधित श्रमिक, अन्य",6210.9900
en,"Leather Cutter, Hand",7536.2000
ta,பணிமனை மேலாளர்,3115.0105
hi,"निदेशक, हवाई अड्डा",1120.2600
ta,"செல் ரூம் உதவியாளர், இரசாயன",8131.8200
ta,அழகு நிபுணர்,5142.0100
