sno,title,nco_2015,nco_2004,division,sub_division,group,family
16,"Working Proprietor, Electricity",1120.0100,1211.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
17,"Working Proprietor, Manufacturing/Proprietor, Manufacturing",1120.1700,1214.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
18,"Director, Recreation and Entertainment",1120.3300,1218.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
19,"Working Proprietor, Gas",1120.0200,1211.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
20,Director Manufacturing,1120.1800,1214.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
21,"station Director, Radio/TV",1120.3400,1218.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
22,"Working Proprietor, Water Supply",1120.0300,1211.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
23,"Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade",1120.1900,1214.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
24,Account Director ( Advertising Agency),1120.3401,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
25,"Director, Electricity",1120.0400,1211.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
26,"Working Proprietor, Retail Trade/Proprietor, Retail Trade",1120.2000,1214.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
27,Sales Director (Media Org),1120.3402,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
28,"Director, Gas",1120.0500,1211.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
29,"Director, Wholesale Trade",1120.2100,1214.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
30,"Working Proprietor, Other Services",1120.3500,1219.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
31,"Director, Water Supply",1120.0600,1211.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
32,"Director, Retail Trade",1120.2200,1214.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
33,"Director, Other Services",1120.3600,1219.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
34,"Director, Bank",1120.0700,1212.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
35,"Working Proprietor, Transport",1120.2300,1215.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
36,"Director, Museum/Zoo",1120.3700,1219.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
37,"Director, Insurance",1120.0800,1212.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
38,"Director, Transport",1120.2400,1215.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
39,Chief Librarian,1120.3800,1219.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
40,"Working Proprietor, Mines/Proprietor, Mines",1120.0900,1213.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
41,"Director, Communication",1120.2500,1215.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
42,"Principal, College",1120.3900,1219.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
43,"Working Proprietor, Quarry/Proprietor, Quarry",1120.1000,1213.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
44,"Director, Airport",1120.2600,1215.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
45,"Working Proprietor, Well Drilling/Proprietor, Well Drilling",1120.1100,1213.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
46,"Working Proprietor, Storage and Warehousing",1120.2700,1216.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
47,"Senior Government Officials, Other",1112.9900,1129.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
48,"Administrative Official, Union Government",1112.0100,1121.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
49,Diplomat,1112.0200,1121.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
50,"Executive Officials, Union Government",1112.0300,1121.30,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
51,"Administrative Official, State Government",1112.0400,1122.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
52,"Executive Official, State Government",1112.0500,1122.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
53,"Administrative and Executive Officials, Quasi Government (Central)",1112.0600,1123.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
54,"Administrative & Executive Officials, Quasi Government (State)",1112.0700,1123.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
55,"Administrative and Executive Officials, Local Bodies",1112.0800,1124.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials
56,"Elected Official, Local Bodies",1111.0300,1113.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators
57,"Elected Official, State Government",1111.0200,1112.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators
58,"Elected Official, Union Government",1111.0100,1111.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators
59,"Legislators, Other",1111.9900,1119.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators
60,Political Worker,1114.0100,1141.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations
61,"Senior Officials of Employers, Workers and Other Economic Interest Organizations",1114.0100,1142.00,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations
62,"Director, Disaster Management Services",1114.0300,1143.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations
63,"Senior Officials of Special Interest Organizations, Other",1114.9900,1143.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Officials of Special Interest Organizations
64,Personnel Manager,1212.0100,1232.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Human Resource Managers
65,"Personnel and Industrial Relations Managers, Others",1212.9900,1232.90,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Human Resource Managers
66,"Manager, Automotive Service",1213.0100,1239.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Policy and Planning Managers
67,Quality Assurance Standards In-Charge,1213.0101,,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Policy and Planning Managers
68,Manager – Customer Quality,1213.0102,,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Policy and Planning Managers
69,"Manager, Automotive Service Station",1213.0200,1239.20,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Policy and Planning Managers
70,Area Service Manager,1213.0201,,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Policy and Planning Managers
71,Territory Service Manager,1213.0202,,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Policy and Planning Managers
72,"Managers, Other Services",1213.9900,1239.90,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Policy and Planning Managers
73,"Manager, Import and Export",1219.0100,1227.30,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Business Services and Administration Managers Not Elsewhere Classified
74,Export Manager,1219.0101,,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Business Services and Administration Managers Not Elsewhere Classified
75,"Manager, Health Club/Manager, Fitness Club/Centre/Gym",1219.0200,1228.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Business Services and Administration Managers Not Elsewhere Classified
76,Sales Manager (Retail Trade),1221.0200,1233.20,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
77,Home Delivery Manager,1221.0301,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
78,Territory Sales Manager (Broadband),1221.0401,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
79,Territory Sales Manager (Prepaid),1221.0501,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
80,Sales Co-Ordinator (Media Org),1221.0601,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
81,Sales Manager (Media Org),1221.0602,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
82,"Sales and Marketing Managers, Other",1221.9900,1233.90,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
83,Sales Manager (Wholesale Trade),1221.0100,1233.10,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Sales and Marketing Managers
84,"Manager, Advertising and Promotion",1222.0100,1234.10,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Advertising and Public Relation Managers
85,Advertising Operations Co-Ordinator (Digital),1222.0102,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Advertising and Public Relation Managers
86,"Manager, Fashion/Fashion Manager",1222.0200,1234.20,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Advertising and Public Relation Managers
87,"Advertising and Public Relations Department Managers, Others",1222.9900,1234.90,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Advertising and Public Relation Managers
88,Manager Testing Facility,1223.0101,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Research and Development Managers
89,Manager Material Testing,1223.0102,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Research and Development Managers
90,Research Associate,1223.0201,,Managers,Administrative and Commercial Managers,"Sales, Marketing and Development Managers",Research and Development Managers
91,"General Manager, Agricultural Farm",1311.0300,1301.10,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
92,"General Manager, Livestock Farm",1311.0400,1301.40,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
93,"General Manager, Dairy Farm",1311.0500,1301.50,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
94,"General Manager, Poultry",1311.0600,1301.60,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
95,"Manager, Agricultural Farm",1311.0700,1221.10,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
96,"Manager, Plantation",1311.0800,1221.20,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
97,"Manager, Nursery",1311.0900,1221.22,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
98,"Agricultural and Forestry Production Managers, Others",1311.9900,1221.90,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
99,Rubber Nursery Manager,1311.0901,,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
100,"Manager, Aerial Planting and Cultivation",1311.1000,1221.24,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
101,"Manager, Orchard",1311.1100,1221.26,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
102,"Manager, Horticulture Farm",1311.1200,1221.30,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
103,"Manager, Livestock Farm",1311.1300,1221.40,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
104,"Manager, Dairy Farm",1311.1400,1221.50,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
105,"Manager, Poultry Farm",1311.1500,1221.60,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
106,"General Manager, Plantation",1311.0100,1301.20,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
107,"General Manager, Horticulture",1311.0200,1301.30,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers
108,"Manager, Gas",1321.0300,1222.50,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
109,"Manager, Water Supply",1321.0400,1222.60,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
110,"Manager, Food Processing Plant",1321.0500,1222.65,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
111,"Manager, Manufacturing",1321.0600,1222.70,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
112,"General Manager, Electricity",1321.0700,1302.40,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
113,"General Manager, Gas",1321.0800,1302.50,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
114,"General Manager, Water Supply",1321.0900,1302.60,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
115,"General Manager, Manufacturing",1321.1000,1302.7,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
116,"Manufacturing Managers, Other",1321.9900,1302.90,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
117,"Manager, Electricity",1321.0100,1222.40,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
118,Terminal Manager,1321.0200,1222.45,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers
119,"Manager, Mine",1322.0100,1222.10,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers
120,"Manager, Quarry",1322.0200,1222.20,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers
121,"Manager, Well Drilling",1322.0300,1222.30,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers
122,"General Manager, Mine",1322.0400,1302.10,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers
123,"General Manager, Quarry",1322.0500,1302.20,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers
124,"General Manager, Well Drilling",1322.0600,1302.30,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers
125,"Mining Managers, Other",1322.9900,1222.90,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers
126,"Manager, Construction/Manager Construction Projects",1323.0100,1223.10,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers
127,"Manager, Land Survey",1323.0200,1223.20,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers
128,"General Manager, Construction/General Manager Construction Projects",1323.0300,1303.10,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers
129,"Construction Managers, Other",1323.9900,1303.90,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers
130,"Flight Operation Officer, Air Service",1324.1000,1226.37,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
131,"Traffic Officer, Air Service/Traffic Controller",1324.1100,1226.39,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
132,"Manager, Storage and Warehousing",1324.1200,1226.50,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
133,Warehouse Supervisor,1324.1201,,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
134,"Manager, Material Control/Manager Materials",1324.0100,1235.10,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
135,"Goods Supervisor, Railway",1324.1300,1226.52,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
136,Manager Supplier Quality,1324.0101,,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
137,"Goods Supervisor, Road Transport",1324.1400,1226.54,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
138,Material Co-Ordination Manager,1324.0102,,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
139,"Station Master, Railway",1324.1500,1226.60,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
140,Manager Vendor Development,1324.0103,,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
141,"Platform Inspector, Railway",1324.1600,1226.62,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
142,"Manager, Transport",1324.0200,1226.10,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
143,"Rates Inspector, Railway",1324.1700,1226.64,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
144,"Station Master, Roadways",1324.0300,1226.15,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
145,"Depot Starter, Tram",1324.1800,1226.65,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
146,"Traffic Inspector, Motor Transport",1324.0400,1226.17,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
147,"Section Controller, Railway",1324.1900,1226.67,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
148,"Manager, Traffic",1324.0500,1226.20,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
149,"Accident Officer, Tram",1324.2000,1226.69,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
150,"Traffic Inspector, Railway",1324.0600,1226.25,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
151,"General Manager, Transport",1324.2100,1306.10,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
152,"Traffic Inspector, Tram",1324.0700,1226.29,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
153,"General Manager, Storage and Warehousing",1324.2200,1306.30,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
154,"Manager, Flight Operation",1324.0800,1226.30,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
155,"Supply, Distribution and Related Managers and General Managers, Other",1324.9900,1226.90,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
156,Aerodrome Officer,1324.0900,1226.35,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers"
157,Communication Analyst,1330.0101,,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Information and Communication Technology Services
158,"Contract Officer, Telephone/Liaising Officer/ PRO/Business Executive",1330.0200,1226.70,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Information and Communication Technology Services
159,Post Master,1330.0300,1226.80,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Information and Communication Technology Services
160,"General Manager, Communication",1330.0600,1306.20,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Information and Communication Technology Services
161,Cluster Manager,1330.0701,,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Information and Communication Technology Services
162,"Information and Communication Technology Services Manager, Other",1330.9900,,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Information and Communication Technology Services
163,"Manager, Communication",1330.0100,1226.40,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Information and Communication Technology Services
164,Headmaster,1345.0100,1229.20,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Education Managers
165,"Manager, Bank",1346.0100,1227.10,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Financial and Insurance Service Branch Managers
166,"Manager, Insurance",1346.0200,1227.20,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Financial and Insurance Service Branch Managers
167,"Financial and Insurance Service Branch Managers, Other",1346.9900,1227.90,Managers,Production and Specialized Services Managers,Information and Communications Technology Services Manager,Financial and Insurance Service Branch Managers
168,"Manager, Lodging and Catering Services/Resident Manager",1411.0100,1225.10,Managers,"Hospitality, Retail and Other Services Managers",Hotel and Restaurant Managers,Hotel Managers
169,"General Manager, Lodging and Catering Services",1411.0200,1305.10,Managers,"Hospitality, Retail and Other Services Managers",Hotel and Restaurant Managers,Hotel Managers
170,"Hotel Managers, Others",1411.9900,1225.90,Managers,"Hospitality, Retail and Other Services Managers",Hotel and Restaurant Managers,Hotel Managers
171,"Manager, Fast Food Service",1412.0100,1225.20,Managers,"Hospitality, Retail and Other Services Managers",Hotel and Restaurant Managers,Restaurant Managers
172,"Restaurant Managers, Other",1412.9900,1305.90,Managers,"Hospitality, Retail and Other Services Managers",Hotel and Restaurant Managers,Restaurant Managers
173,"Manager, Retail Trade",1420.0200,1224.20,Managers,"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,Retail and Wholesale Trade Managers
174,"Manager, Export",1420.0300,1224.30,Managers,"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,Retail and Wholesale Trade Managers
175,"General Manager, Wholesale Trade/Senior Manager, Wholesale Trade",1420.0400,1304.10,Managers,"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,Retail and Wholesale Trade Managers
176,"General Manager, Retail Trade, Senior Manager, Retail Trade",1420.0500,1304.20,Managers,"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,Retail and Wholesale Trade Managers
177,"Retail and Wholesale Trade Managers, Other",1420.9900,1304.90,Managers,"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,Retail and Wholesale Trade Managers
178,"Manager, Wholesale Trade",1420.0100,1224.10,Managers,"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,Retail and Wholesale Trade Managers
179,"General Manager, Recreation and Entertainment",1431.0100,1309.10,Managers,"Hospitality, Retail and Other Services Managers",Other Services Managers,"Sports, Recreation and Cultural Centre Managers"
180,"Sports, Recreation and Cultural Centre Manager, Other",1431.9900,1309.90,Managers,"Hospitality, Retail and Other Services Managers",Other Services Managers,"Sports, Recreation and Cultural Centre Managers"
181,Metrologist,2111.1000,2119.10,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers
182,Material Scientist,2111.1100,2119.20,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers
