sno,title,nco_2015,nco_2004,division,sub_division,group,family
525,"University and College Teacher, Fine Arts/Professors/Assistant Professors, Fine Arts",2310.1200,2310.80,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
526,Certified Training Assessor,2320.0101,,Professionals,Teaching Professionals,Vocational Education Teachers,Vocational Education Teachers
527,Physical Security Trainer,2320.0102,,Professionals,Teaching Professionals,Vocational Education Teachers,Vocational Education Teachers
528,"Senior Secondary and Secondary School Teacher, Arts",2330.0100,2320.10,Professionals,Teaching Professionals,Secondary Education Teachers,Secondary Education Teachers
529,"Senior Secondary and Secondary School Teacher, Science",2330.0200,2320.12,Professionals,Teaching Professionals,Secondary Education Teachers,Secondary Education Teachers
530,"Senior Secondary and Secondary School Teacher, Commerce",2330.0300,2320.15,Professionals,Teaching Professionals,Secondary Education Teachers,Secondary Education Teachers
531,"Language Teacher, Senior Secondary and Secondary School",2330.0400,2320.20,Professionals,Teaching Professionals,Secondary Education Teachers,Secondary Education Teachers
532,"Senior Secondary and Secondary School Teachers, Other",2330.9900,2320.90,Professionals,Teaching Professionals,Secondary Education Teachers,Secondary Education Teachers
533,Middle School Teacher,2341.0100,3311.10,Professionals,Teaching Professionals,Primary School and Early Childhood Teachers,Primary School Teachers
534,"Language Teacher, Middle School",2341.0200,3311.20,Professionals,Teaching Professionals,Primary School and Early Childhood Teachers,Primary School Teachers
535,Primary School Teacher,2341.0400,3312.10,Professionals,Teaching Professionals,Primary School and Early Childhood Teachers,Primary School Teachers
536,"Primary School Teachers, Other",2341.9900,3312.90,Professionals,Teaching Professionals,Primary School and Early Childhood Teachers,Primary School Teachers
537,"Teacher, Infant School/Teacher Pre-Primary",2342.0100,3320.10,Professionals,Teaching Professionals,Primary School and Early Childhood Teachers,Early Childhood Educators
538,"Pre-Primary Education Teaching Associate Professionals, Other",2342.9900,3320.90,Professionals,Teaching Professionals,Primary School and Early Childhood Teachers,Early Childhood Educators
539,School Inspector,2351.0100,2332.10,Professionals,Teaching Professionals,Other Teaching Professionals,Education Method Specialists
540,"Education Methods Specialists, Other",2351.9900,2331.90,Professionals,Teaching Professionals,Other Teaching Professionals,Education Method Specialists
541,Art Teacher,2355.0100,2339.10,Professionals,Teaching Professionals,Other Teaching Professionals,Other Arts Teachers
542,"Arts Teacher, Other",2355.9900,2339.90,Professionals,Teaching Professionals,Other Teaching Professionals,Other Arts Teachers
543,Manual Training Teacher/Craft Instructor,2356.0100,3340.10,Professionals,Teaching Professionals,Other Teaching Professionals,Information Technology Trainers
544,Master Trainer for Junior Software Developer,2356.0301,,Professionals,Teaching Professionals,Other Teaching Professionals,Information Technology Trainers
545,"Information Technology Trainers, Other",2356.9900,3340.90,Professionals,Teaching Professionals,Other Teaching Professionals,Information Technology Trainers
546,"Handwork Teacher/Teacher, Art and Craft",2359.0100,3340.20,Professionals,Teaching Professionals,Other Teaching Professionals,Teaching Professionals Not Elsewhere Classified
547,Accountant,2411.0100,2411.10,Professionals,Business and Administrative Professionals,Finance Professionals,Accountants
548,Associate – Transactional Finance & Accounting,2411.0101,,Professionals,Business and Administrative Professionals,Finance Professionals,Accountants
549,Auditor,2411.0200,2411.20,Professionals,Business and Administrative Professionals,Finance Professionals,Accountants
550,Associate – Finance & Accounting Complex,2411.0201,,Professionals,Business and Administrative Professionals,Finance Professionals,Accountants
551,Cost Accountant,2411.0300,2411.30,Professionals,Business and Administrative Professionals,Finance Professionals,Accountants
552,Financial Examiner,2412.0100,2411.40,Professionals,Business and Administrative Professionals,Finance Professionals,Financial and Investment Advisors
553,Financial Analyst,2412.0200,2411.50,Professionals,Business and Administrative Professionals,Finance Professionals,Financial and Investment Advisors
554,Budget Analyst,2412.0300,2411.60,Professionals,Business and Administrative Professionals,Finance Professionals,Financial and Investment Advisors
555,Risk Management Analyst,2412.0300,2411.70,Professionals,Business and Administrative Professionals,Finance Professionals,Financial and Investment Advisors
556,Agriculture Field Officer,2412.0501,,Professionals,Business and Administrative Professionals,Finance Professionals,Financial and Investment Advisors
557,Commission Agent,2412.0600,3411.40,Professionals,Business and Administrative Professionals,Finance Professionals,Financial and Investment Advisors
558,"Financial and Investment Advisors, Other",2412.9900,2411.90,Professionals,Business and Administrative Professionals,Finance Professionals,Financial and Investment Advisors
559,Analyst – Research,2421.0101,,Professionals,Business and Administrative Professionals,Administration Professionals,Management and Organization Analysts
560,Vocational Guidance Officer/Career Counsellors,2423.0100,2412.40,Professionals,Business and Administrative Professionals,Administration Professionals,Personal and Careers Professionals
561,Associate – Recruitment,2423.0101,,Professionals,Business and Administrative Professionals,Administration Professionals,Personal and Careers Professionals
562,Counsellor,2423.0200,2412.50,Professionals,Business and Administrative Professionals,Administration Professionals,Personal and Careers Professionals
563,Occupational Analyst,2423.0500,2412.75,Professionals,Business and Administrative Professionals,Administration Professionals,Personal and Careers Professionals
564,"Personal and Careers Professionals, Other",2423.9900,2412.90,Professionals,Business and Administrative Professionals,Administration Professionals,Personal and Careers Professionals
565,Sales Training Manager,2424.0401,,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
566,Sales/Service Trainer (Dealer),2424.0402,,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
567,Service Training Centre In-Charge,2424.0501,,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
568,Field Service Trainer,2424.0502,,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
569,"Training and Staff Development Professionals, Other",2424.9900,,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
570,"Manpower Officer/Area Manager, Human Resource",2424.0100,2412.10,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
571,"Employment Officer/Operation Head, Employment",2424.0200,2412.20,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
572,Human Resource Manager,2424.0300,2412.30,Professionals,Business and Administrative Professionals,Administration Professionals,Training and Staff Development Professionals
573,Product Executive,2431.0601,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
574,Sales Executive (Media Org),2431.0651,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
575,Traffic Co-Ordinator,2431.0671,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
576,Creative Writer,2431.0700,2451.52,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
577,Propagandist,2431.0800,3411.30,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
578,Market Research Analyst,2431.0100,2419.40,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
579,"Advertising and Marketing Professionals, Other",2431.9900,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
580,Regional Service Marketing Manager,2431.0101,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
581,Regional Service Process Manager,2431.0102,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
582,Product Brand Manager (Automotive),2431.0201,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
583,Account Executive (Advertising Agency),2431.0202,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
584,Caption Writer,2431.0300,2451.47,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
585,Advertisement Writer,2431.0400,2451.50,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
586,Market Research Associate – Sales & Marketing/Business Development,2431.0501,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
587,Management Trainee – Sales & Marketing/Business Development,2431.0502,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
588,Market Research Associate – Product Marketing,2431.0503,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
589,Management Trainee – Product Marketing,2431.0504,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Advertising and Marketing Professionals
590,Publicity Officer,2432.0100,2419.10,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Public Relations Professionals
591,Public Relations Officer,2432.0200,2419.20,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Public Relations Professionals
592,Digital Marketing/Social Media Manager,2432.0201,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Public Relations Professionals
593,Information Officer,2432.0300,2419.30,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Public Relations Professionals
594,"Public Relations Professionals, Other",2432.9900,2419.90,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Public Relations Professionals
595,Business Development Executive,2433.0601,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Technical and Medical Sales Professional (Excluding ICT)
596,"Field Officer, Insurance",2433.0700,3415.50,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Technical and Medical Sales Professional (Excluding ICT)
597,Area Sales Officer,2433.0101,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Technical and Medical Sales Professional (Excluding ICT)
598,Medical Representative,2433.0201,3415.20,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Technical and Medical Sales Professional (Excluding ICT)
599,Sales Executive – Medical Electronics,2433.0301,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Technical and Medical Sales Professional (Excluding ICT)
600,Sales Executive – Consumer Electronics,2433.0401,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Technical and Medical Sales Professional (Excluding ICT)
601,Sales Executive – Solar Electronics,2433.0501,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Technical and Medical Sales Professional (Excluding ICT)
602,Sales and Pre-Sales Analyst,2434.0101,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Information and Communications Technology Sales Professionals
603,Sales/Pre-Sales Executive,2434.0201,,Professionals,Business and Administrative Professionals,"Sales, Marketing and Public Relations Professionals",Information and Communications Technology Sales Professionals
604,System Analysts,2511.0100,2131.10,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
605,Deployment Engineer,2511.0101,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
606,Engineer – Software Transition,2511.0102,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
607,Engineer – Packaging,2511.0103,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
608,Engineer – Product Lifecycle Management (PLM),2511.0104,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
609,Analyst,2511.0105,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
610,Support Engineer,2511.0106,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
611,"System Analysts, Other",2511.9900,2131.90,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",System Analysts
612,Software Developer – Application Development,2512.0204,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
613,Junior Software Developer,2512.0205,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
614,Engineer Trainee – IT Services,2512.0206,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
615,Engineer Trainee – Engineering Analysis,2512.0207,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
616,Programmer Analyst,2512.0300,2132.30,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
617,Software Developer – Product Development and Delivery,2512.0301,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
618,FPGA Design Engineer,2512.0401,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
619,Embedded Software Engineer,2512.0501,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
620,Design Engineer – Engineering Analysis,2512.0601,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
621,Application Maintenance Engineer,2512.0701,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
622,"Programmer, Engineering and Scientific/System Programmer",2512.0800,2132.40,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
623,Computer Programmer/Software Engineer,2512.0100,2132.10,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
624,Software Engineer,2512.0201,2132.20,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
625,Test Engineer – Software,2512.0202,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
626,Design Engineer(Product Engineer),2512.0203,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software Developers
627,Web Developer,2513.0101,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Web and Multimedia Developers
628,User Interface Developer,2513.0201,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Web and Multimedia Developers
629,Media Developer – Product Development and Delivery,2513.0301,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Web and Multimedia Developers
630,Media Developer – Application Development,2513.0302,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Web and Multimedia Developers
631,"Computer Programmers, Other",2514.9900,2132.90,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Applications Programmers
632,System Programmer,2519.0100,2132.50,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software and Application Developers and Analysts Not Elsewhere Classified
633,Quality Assurance Analyst (Computers),2519.0300,2139.10,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software and Application Developers and Analysts Not Elsewhere Classified
634,Quality Assurance Engineer – IT Services,2519.0301,2139.10,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software and Application Developers and Analysts Not Elsewhere Classified
635,Test Engineer – IT Services,2519.0302,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software and Application Developers and Analysts Not Elsewhere Classified
636,Quality Assurance Engineer – Software Products,2519.0401,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software and Application Developers and Analysts Not Elsewhere Classified
637,Test Engineer – Software Products,2519.0402,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software and Application Developers and Analysts Not Elsewhere Classified
638,Quality Engineer,2519.0501,,Professionals,Information and Communication Technology Professionals,"Software and Application Developers, and Analysts",Software and Application Developers and Analysts Not Elsewhere Classified
639,Database Design Analyst,2521.0100,2139.20,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Database designers and Administrators
640,Junior Data Associate,2521.0202,,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Database designers and Administrators
641,Database Administrator,2522.0100,2139.30,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Systems Administrators
642,Security Analyst,2522.0201,,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Systems Administrators
643,"Computer Network Professionals, Other",2523.9900,2139.90,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Computer Network Professionals
644,Data Communication Analyst/Network Administrator,2523.0100,2131.20,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Computer Network Professionals
645,Computer System Hardware Analyst/Hardware Engineer,2523.0200,2139.40,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Computer Network Professionals
646,Tester/Test Engineer – Hardware,2523.0301,,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Computer Network Professionals
647,Design Engineer,2523.0401,,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Computer Network Professionals
648,Hardware Engineer,2523.0501,,Professionals,Information and Communication Technology Professionals,Database and Network Professionals,Computer Network Professionals
649,Attorney General of India,2611.0100,2421.10,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
650,Solicitor General of India,2611.0200,2421.20,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
651,Advocate General,2611.0300,2421.30,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
652,Legal Remembrancer,2611.0400,2421.40,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
653,Government Advocate,2611.0500,2421.50,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
654,Public Prosecutor,2611.0600,2421.60,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
655,Police Prosecutor,2611.0700,2421.65,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
656,Attorney at Law,2611.0800,2421.70,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
657,Advocate,2611.0900,2421.80,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
658,Intellectual Property Executive,2611.1001,,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
659,Legal Associate,2611.1002,,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
660,"Lawyers, Other",2611.9900,2421.90,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Lawyers
661,Munsif,2612.0400,2422.40,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
662,"Judge, Subordinate Court",2612.0500,2422.50,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
663,Magistrate,2612.0600,2422.60,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
664,"Magistrate, Juvenile Court",2612.0700,2422.65,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
665,"Chairman, Administrative Tribunal",2612.0800,2422.70,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
666,"Member, Administrative Tribunal",2612.0900,2422.72,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
667,"President, Industrial Tribunal",2612.1000,2422.75,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
668,"Member, Industrial Tribunal",2612.1100,2422.80,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
669,"President, Consumer Redressal Forum",2612.1200,2422.85,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
670,"Member, Consumer Redressal Forum",2612.1300,2422.87,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
671,"Judges and Magistrates, Other",2612.9900,2422.90,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
672,"Judge, Supreme Court",2612.0100,2422.10,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
673,"Judge, High Court",2612.0200,2422.20,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
674,District and Session Judge,2612.0300,2422.30,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,Judges
675,Insolvency Registrar,2619.0600,2429.45,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
676,Official Assignee (High Court),2619.0700,2429.50,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
677,Court Receiver and Liquidator,2619.0800,2429.55,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
678,Sheriff,2619.0900,2429.60,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
679,Coroner,2619.1000,2429.65,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
680,"Legal Professionals, Other",2619.9900,2429.90,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
681,Prothonotary and Senior Master,2619.0100,2429.10,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
682,"Registrar (Appellate Side, High Court)",2619.0200,2429.20,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
683,Registrar,2619.0300,2429.25,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
684,Master Official Referee and Registrar in Equity and Commissioner for Taking Accounts (High Court),2619.0400,2429.30,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
685,Taxing Master,2619.0500,2429.40,Professionals,"Legal, Social and Cultural Professionals",Legal Professionals,"Legal Professionals, Not Elsewhere Classified"
686,Archivist,2621.0100,2431.10,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
687,Curator (Museum),2621.0200,2431.20,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
688,"Restorer, Painting",2621.0300,2431.30,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
689,"Restorer, Lace and Textile",2621.0400,2431.40,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
690,"Restorer, Ceramics",2621.0500,2431.50,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
691,"Restorer, Paper and Prints",2621.0600,2431.55,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
692,"Restorer, Furniture",2621.0700,2431.60,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
693,"Archivists and Curators, Other",2621.9900,2431.90,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Archivists and Curators
694,Tape Librarian/Librarian Digital/Librarian Media,2622.0300,2432.25,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Librarians and Related Information Professionals
695,News Librarian,2622.0500,2432.40,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Librarians and Related Information Professionals
696,Document Coder/Processor,2622.0601,,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Librarians and Related Information Professionals
697,"Librarians and Related Information Professionals, Other",2622.9900,2432.90,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Librarians and Related Information Professionals
698,Librarian,2622.0100,2432.10,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Librarians and Related Information Professionals
699,Librarian (Film),2622.0200,2432.20,Professionals,"Legal, Social and Cultural Professionals","Librarians, Archivists and Curators",Librarians and Related Information Professionals
700,Economist,2631.0100,2441.10,Professionals,"Legal, Social and Cultural Professionals",Social and Religious Professionals,Economists
701,Energy Economist,2631.0200,2441.20,Professionals,"Legal, Social and Cultural Professionals",Social and Religious Professionals,Economists
702,Home Economist,2631.0300,2441.30,Professionals,"Legal, Social and Cultural Professionals",Social and Religious Professionals,Economists
703,"Economists, Other",2631.9900,2441.90,Professionals,"Legal, Social and Cultural Professionals",Social and Religious Professionals,Economists
704,"Anthropologist, Cultural",2632.0900,2442.75,Professionals,"Legal, Social and Cultural Professionals",Social and Religious Professionals,"Sociologists, Anthropologists and Related Professionals"
705,Genealogist,2632.1000,2442.77,Professionals,"Legal, Social and Cultural Professionals",Social and Religious Professionals,"Sociologists, Anthropologists and Related Professionals"
706,Archaeologist,2632.1100,2442.80,Professionals,"Legal, Social and Cultural Professionals",Social and Religious Professionals,"Sociologists, Anthropologists and Related Professionals"
